rank,finalWorthInMillions,companyCategory,personName,age,city,source,countryOfCitizenship,selfMade,inherited,gender,birthDate
34,35300,Technology,Ma Huateng,51.0,Shenzhen,Internet media,China,True,No,M,1971-10-29 00:00:00
35,35000,Gambling & Casinos,Miriam Adelson & family,77.0,Las Vegas,Casinos,United States,False,Yes,F,1945-10-10 00:00:00
35,35000,Finance & Investments,Ken Griffin,54.0,Miami,Hedge funds,United States,True,Yes,M,1968-10-15 00:00:00
37,34700,Food & Beverage,Mark Mateschitz,30.0,Salzburg,Red Bull,Austria,False,Unknown,M,1992-05-07 00:00:00
38,33400,Automotive,Robin Zeng,54.0,Ningde,Batteries,Hong Kong,True,No,M,1969-01-01 00:00:00
39,32600,Fashion & Retail,Tadashi Yanai & family,74.0,Tokyo,Fashion retail,Japan,True,Yes,M,1949-02-07 00:00:00
40,32100,Diversified,Len Blavatnik,65.0,London,"Music, chemicals",United States,True,No,M,1957-06-01 00:00:00
41,31600,Fashion & Retail,Alain Wertheimer,74.0,New York,Chanel,France,False,Yes,M,1948-08-28 00:00:00
41,31600,Fashion & Retail,Gerard Wertheimer,72.0,New York,Chanel,France,False,Yes,M,1951-01-09 00:00:00
43,31200,Logistics,Gianluigi Aponte,82.0,Geneva,Shipping,Switzerland,True,Yes,M,1940-06-27 00:00:00
43,31200,Logistics,Rafaela Aponte-Diamant,78.0,Geneva,Shipping,Switzerland,True,Yes,F,1945-03-26 00:00:00
45,30200,Technology,Colin Zheng Huang,43.0,Shanghai,E-commerce,China,True,Yes,M,1980-02-02 00:00:00
46,29700,Manufacturing,Reinhold Wuerth & family,87.0,Kuenzelsau,Fasteners,Germany,True,Yes,M,1935-04-20 00:00:00
47,29500,Real Estate,Lee Shau Kee,95.0,Hong Kong,Real estate,Hong Kong,True,No,M,1928-01-29 00:00:00
48,28500,Finance & Investments,Jeff Yass,64.0,Haverford,"Trading, investments",United States,True,Yes,M,1958-07-17 00:00:00
49,28100,Finance & Investments,Jim Simons,84.0,East Setauket,Hedge funds,United States,True,No,M,1938-04-25 00:00:00
50,27800,Finance & Investments,Stephen Schwarzman,76.0,New York,Investments,United States,True,No,M,1947-02-14 00:00:00
51,27400,Automotive,Susanne Klatten,60.0,Bad Homburg,"BMW, pharmaceuticals",Germany,False,Yes,F,1962-04-28 00:00:00
52,27000,Metals & Mining,Gina Rinehart,69.0,Perth,Mining,Australia,False,No,F,1954-02-09 00:00:00
53,26700,Technology,William Ding,51.0,Hangzhou,Online games,China,True,Yes,M,1971-10-01 00:00:00
54,26600,Metals & Mining,Germán Larrea Mota Velasco & family,69.0,Mexico City,Mining,Mexico,False,No,M,1953-10-26 00:00:00
55,25600,Technology,Shiv Nadar,77.0,Delhi,software services,India,True,No,M,1945-07-18 00:00:00
56,25500,Energy,Low Tuck Kwong,74.0,Jakarta,Coal,Indonesia,True,Yes,M,1948-04-17 00:00:00
57,25300,Finance & Investments,Thomas Peterffy,78.0,Palm Beach,Discount brokerage,United States,True,Yes,M,1944-09-30 00:00:00
58,25200,Metals & Mining,Andrey Melnichenko & family,51.0,Ras Al Khaimah,"Fertilizers, coal",Russia,True,Yes,M,1972-03-08 00:00:00
59,24600,Automotive,Stefan Quandt,56.0,Frankfurt,BMW,Germany,False,Yes,M,1966-05-09 00:00:00
60,24400,Technology,MacKenzie Scott,52.0,Seattle,Amazon,United States,False,No,F,1970-04-07 00:00:00
61,24200,Finance & Investments,R. Budi Hartono,82.0,Kudus,"Banking, tobacco",Indonesia,False,Yes,M,1941-01-01 00:00:00
62,23700,Metals & Mining,Vladimir Potanin,62.0,Moscow,Metals,Russia,True,Yes,M,1961-01-03 00:00:00
63,23500,Technology,Jack Ma,58.0,Hangzhou,E-commerce,China,True,Yes,M,1964-09-10 00:00:00
64,23400,Manufacturing,He Xiangjian & family,80.0,Foshan,Home appliances,China,True,No,M,1942-08-11 00:00:00
65,23100,Metals & Mining,Iris Fontbona & family,80.0,Santiago,Mining,Chile,False,Yes,F,1943-01-01 00:00:00
65,23100,Manufacturing,Michael Hartono,83.0,Kudus,"Banking, tobacco",Indonesia,False,Yes,M,1939-10-02 00:00:00
67,22900,Manufacturing,James Ratcliffe,70.0,London,Chemicals,United Kingdom,True,Yes,M,1953-01-01 00:00:00
68,22600,Healthcare,Cyrus Poonawalla,81.0,Pune,Vaccines,India,False,No,M,1941-05-11 00:00:00
69,22400,Telecom,Masayoshi Son,65.0,Tokyo,"Internet, telecom",Japan,True,Yes,M,1957-08-11 00:00:00
70,22100,Metals & Mining,Vladimir Lisin,66.0,Moscow,"Steel, transport",Russia,True,Yes,M,1956-05-07 00:00:00
71,22000,Food & Beverage,Emmanuel Besnier,52.0,Laval,Cheese,France,False,No,M,1970-09-18 00:00:00
72,21600,Finance & Investments,Abigail Johnson,61.0,Milton,Fidelity,United States,False,Yes,F,1961-12-19 00:00:00
72,21600,Energy,Leonid Mikhelson & family,67.0,Moscow,"Gas, chemicals",Russia,True,Yes,M,1955-08-11 00:00:00
74,21200,Fashion & Retail,Lukas Walton,36.0,Chicago,Walmart,United States,False,Yes,M,1986-09-19 00:00:00
74,21200,Service,Wang Wei,52.0,Shenzhen,Package delivery,China,True,No,M,1970-10-01 00:00:00
76,21100,Technology,Jensen Huang,60.0,Los Altos,Semiconductors,United States,True,Yes,M,1963-02-17 00:00:00
77,21000,Fashion & Retail,Leonard Lauder,90.0,New York,Estee Lauder,United States,False,No,M,1933-03-19 00:00:00
77,21000,Manufacturing,Takemitsu Takizaki,77.0,Osaka,Sensors,Japan,True,No,M,1945-06-10 00:00:00
79,20900,Metals & Mining,Alexey Mordashov & family,57.0,Moscow,"Steel, investments",Russia,True,Yes,M,1965-09-26 00:00:00
80,20500,Energy,Vagit Alekperov,72.0,Moscow,Oil,Russia,True,Yes,M,1950-09-01 00:00:00
81,20200,Healthcare,"Thomas Frist, Jr. & family",84.0,Nashville,Hospitals,United States,True,No,M,1938-08-12 00:00:00
82,19600,Metals & Mining,Andrew Forrest,61.0,Perth,Mining,Australia,True,Yes,M,1961-11-18 00:00:00
83,19100,Finance & Investments,Ray Dalio,73.0,Greenwich,Hedge funds,United States,True,No,M,1949-08-08 00:00:00
84,19000,Automotive,Eric Li,59.0,Hangzhou,Automobiles,China,True,No,M,1963-06-01 00:00:00
84,19000,Metals & Mining,Wang Wenyin,55.0,Shenzhen,"Mining, copper products",China,True,Yes,M,1968-03-01 00:00:00
86,18900,Diversified,Eyal Ofer,72.0,Monte Carlo,"Real estate, shipping",Israel,False,Yes,M,1950-06-02 00:00:00
86,18900,Food & Beverage,Qin Yinglin,57.0,Nanyang,Pig breeding,China,True,No,M,1965-04-17 00:00:00
88,18700,Automotive,Wang Chuanfu,57.0,Shenzhen,"Batteries, automobiles",China,True,No,M,1966-02-15 00:00:00
89,18500,Energy,Harold Hamm & family,77.0,Oklahoma City,Oil & gas,United States,True,Yes,M,1945-12-11 00:00:00
89,18500,Finance & Investments,David Tepper,65.0,Palm Beach,Hedge funds,United States,True,Yes,M,1957-09-11 00:00:00
89,18500,Energy,Gennady Timchenko,70.0,Moscow,"Oil, gas",Russia,True,Yes,M,1952-11-09 00:00:00
92,18000,Finance & Investments,Daniel Gilbert,61.0,Franklin,Quicken Loans,United States,True,No,M,1962-01-17 00:00:00
93,17700,Metals & Mining,Lakshmi Mittal,72.0,London,Steel,India,False,No,M,1950-06-15 00:00:00
94,17500,Finance & Investments,Steve Cohen,66.0,Greenwich,Hedge funds,United States,True,Yes,M,1956-06-11 00:00:00
94,17500,Finance & Investments,Carl Icahn,87.0,Indian Creek,Investments,United States,True,Yes,M,1936-02-16 00:00:00
94,17500,Metals & Mining,Savitri Jindal & family,73.0,Hisar,Steel,India,False,No,F,1950-03-20 00:00:00
97,17400,Real Estate,Donald Bren,90.0,Newport Beach,Real estate,United States,True,Yes,M,1932-05-11 00:00:00
97,17400,Fashion & Retail,"John Menard, Jr.",83.0,Eau Claire,Home improvement stores,United States,True,Yes,M,1940-01-22 00:00:00
99,17100,Media & Entertainment,Rupert Murdoch & family,92.0,New York,"Newspapers, TV network",United States,False,No,M,1931-03-11 00:00:00
100,16700,Finance & Investments,Vicky Safra & family,70.0,Crans-Montana,Banking,Brazil,False,Yes,F,1953-01-01 00:00:00
101,16500,Fashion & Retail,"Theo Albrecht, Jr. & family",72.0,Mulheim an der Ruhr,"Aldi, Trader Joe's",Germany,False,No,M,1951-01-01 00:00:00
101,16500,Finance & Investments,Renata Kellnerova & family,55.0,Prague,"Finance, telecommunications",Czech Republic,False,No,F,1967-07-04 00:00:00
103,16300,Healthcare,Li Xiting,72.0,Shenzhen,medical devices,Singapore,True,No,M,1951-01-01 00:00:00
104,16200,Fashion & Retail,Stefan Persson,75.0,Stockholm,H&M,Sweden,False,No,M,1947-10-04 00:00:00
104,16200,Technology,Eric Schmidt,67.0,Atherton,Google,United States,True,No,M,1955-04-27 00:00:00
106,16000,Finance & Investments,Michael Platt,55.0,Geneva,Hedge funds,United Kingdom,True,Yes,M,1968-03-18 00:00:00
107,15900,Food & Beverage,Pang Kang,67.0,Foshan,Soy sauce,China,True,No,M,1956-01-19 00:00:00
108,15800,Fashion & Retail,Karl Albrecht Jr. & family,,,Supermarkets,Germany,False,Yes,M,
108,15800,Fashion & Retail,Beate Heister,,,Supermarkets,Germany,False,Yes,F,
108,15800,Food & Beverage,Jorge Paulo Lemann & family,83.0,Zurich,Beer,Brazil,True,Yes,M,1939-08-26 00:00:00
108,15800,Real Estate,Peter Woo,76.0,Hong Kong,Real estate,Hong Kong,False,No,M,1946-09-05 00:00:00
112,15600,Healthcare,Dilip Shanghvi,67.0,Mumbai,Pharmaceuticals,India,True,Unknown,M,1955-10-01 00:00:00
113,15500,Technology,Robert Pera,45.0,San Jose,Wireless networking,United States,True,Yes,M,1978-03-10 00:00:00
114,15300,Fashion & Retail,Radhakishan Damani,68.0,Mumbai,"Retail, investments",India,True,No,M,1955-01-01 00:00:00
115,15200,Automotive,Huang Shilin,56.0,Ningde,Batteries,China,True,No,M,1967-01-01 00:00:00
116,14900,Diversified,Dhanin Chearavanont,83.0,Bangkok,Diversified,Thailand,False,Yes,M,1939-04-19 00:00:00
116,14900,Fashion & Retail,David Green & family,81.0,Oklahoma City,Retail,United States,True,Yes,M,1941-11-13 00:00:00
118,14800,Food & Beverage,Charoen Sirivadhanabhakdi,78.0,Bangkok,"Alcohol, real estate",Thailand,True,Yes,M,1944-05-02 00:00:00
119,14700,Food & Beverage,Charlene de Carvalho-Heineken & family,68.0,London,Heineken,Netherlands,False,No,F,1954-06-30 00:00:00
120,14600,Healthcare,Xu Hang,60.0,Shenzhen,Medical devices,Hong Kong,True,No,M,1962-05-22 00:00:00
121,14500,Automotive,Wei Jianjun & family,59.0,Baoding,Automobiles,China,True,No,M,1964-03-01 00:00:00
122,14400,Metals & Mining,Alisher Usmanov,69.0,Tashkent,"Steel, telecom, investments",Russia,True,Yes,M,1953-09-09 00:00:00
123,14300,Manufacturing,Goh Cheng Liang,95.0,Singapore,Paints,Singapore,True,Yes,M,1927-06-27 00:00:00
124,14200,Diversified,Kumar Birla,55.0,Mumbai,Commodities,India,False,No,M,1967-06-14 00:00:00
124,14200,Manufacturing,Aliko Dangote,65.0,Lagos,"Cement, sugar",Nigeria,True,Yes,M,1957-04-10 00:00:00
126,14100,Real Estate,Kwong Siu-hing,93.0,Hong Kong,Real estate,Hong Kong,False,Yes,F,1929-12-02 00:00:00
127,14000,Diversified,Idan Ofer,67.0,London,Shipping,Israel,False,Yes,M,1955-10-02 00:00:00
128,13900,Healthcare,Chen Bang,57.0,Changsha,Hospitals,China,True,Yes,M,1965-09-01 00:00:00
128,13900,Gambling & Casinos,Lui Che Woo,94.0,Hong Kong,Casinos/hotels,Hong Kong,True,Yes,M,1929-04-01 00:00:00
130,13700,Logistics,John Fredriksen,78.0,London,Shipping,Cyprus,True,Yes,M,1945-02-01 00:00:00
130,13700,Construction & Engineering,Diane Hendricks,76.0,Afton,Building supplies,United States,True,Yes,F,1947-03-02 00:00:00
130,13700,Technology,Jan Koum,47.0,Atherton,WhatsApp,United States,True,Yes,M,1976-02-24 00:00:00
133,13300,Sports,Jerry Jones,80.0,Dallas,Dallas Cowboys,United States,True,Yes,M,1942-10-13 00:00:00
133,13300,Energy,George Kaiser,80.0,Tulsa,"Oil & gas, banking",United States,False,Yes,M,1942-07-29 00:00:00
133,13300,Real Estate,Joseph Lau,71.0,Hong Kong,Real estate,Hong Kong,True,No,M,1951-07-21 00:00:00
136,13200,Automotive,Lu Xiangyang,60.0,Guangzhou,"Automobiles, batteries",China,True,No,M,1962-12-28 00:00:00
137,13100,Real Estate,Harry Triguboff,90.0,Sydney,Real estate,Australia,True,Yes,M,1933-03-03 00:00:00
138,12900,Finance & Investments,Uday Kotak,64.0,Mumbai,Banking,India,True,No,M,1959-03-15 00:00:00
138,12900,Sports,Stanley Kroenke,75.0,Electra,"Sports, real estate",United States,True,Yes,M,1947-07-29 00:00:00
140,12600,Energy,Mikhail Fridman,58.0,London,"Oil, banking, telecom",Russia,True,Yes,M,1964-04-21 00:00:00
141,12300,Energy,Sarath Ratanavadi,57.0,Bangkok,Energy,Thailand,True,Yes,M,1965-07-12 00:00:00
142,12200,Metals & Mining,Dang Yanbao,50.0,Yinchuan,Coal,China,True,No,M,1973-02-01 00:00:00
142,12200,Healthcare,Jiang Rensheng & family,69.0,Chongqing,Vaccines,China,True,No,M,1953-10-08 00:00:00
144,12100,Automotive,Shahid Khan,72.0,Naples,Auto parts,United States,True,Yes,M,1950-07-18 00:00:00
145,12000,Technology,Laurene Powell Jobs & family,59.0,Palo Alto,"Apple, Disney",United States,False,No,F,1963-11-06 00:00:00
146,11800,Diversified,Robert Kuok,99.0,Hong Kong,"Palm oil, shipping, property",Malaysia,True,Yes,M,1923-10-06 00:00:00
147,11600,Real Estate,Stephen Ross,82.0,New York,Real estate,United States,True,Yes,M,1940-05-10 00:00:00
148,11500,Technology,Pavel Durov,38.0,Dubai,Messaging app,United Arab Emirates,True,No,M,1984-10-10 00:00:00
148,11500,Healthcare,Andreas Struengmann & family,73.0,Tegernsee,Pharmaceuticals,Germany,True,No,M,1950-02-16 00:00:00
148,11500,Healthcare,Thomas Struengmann & family,73.0,Tegernsee,Pharmaceuticals,Germany,True,No,M,1950-02-16 00:00:00
151,11400,Food & Beverage,Liu Hanyuan,59.0,Chengdu,Agribusiness,China,True,No,M,1964-01-01 00:00:00
151,11400,Fashion & Retail,Michael Rubin,50.0,Bryn Mawr,Online retail,United States,True,Yes,M,1972-07-21 00:00:00
153,11300,Finance & Investments,Israel Englander,74.0,New York,Hedge funds,United States,True,No,M,1948-09-30 00:00:00
153,11300,Manufacturing,Viatcheslav Kantor,69.0,Herzliya,"Fertilizer, real estate",Russia,True,Yes,M,1953-09-08 00:00:00
153,11300,Manufacturing,Anthony Pratt,62.0,Melbourne,Manufacturing,Australia,False,No,M,1960-04-11 00:00:00
153,11300,Finance & Investments,Mikhail Prokhorov,57.0,Frauenfeld,Investments,Russia,True,Yes,M,1965-05-03 00:00:00
157,11100,Fashion & Retail,Giorgio Armani,88.0,Milan,Luxury goods,Italy,True,Yes,M,1934-07-11 00:00:00
157,11100,Fashion & Retail,Johann Rupert & family,72.0,Cape Town,Luxury goods,South Africa,False,Yes,M,1950-06-01 00:00:00
159,11000,Finance & Investments,Gong Hongjia & family,58.0,Hong Kong,Video surveillance,Hong Kong,True,No,M,1965-01-01 00:00:00
159,11000,Technology,Zhang Zhidong,51.0,Shenzhen,Internet media,China,True,No,M,1972-01-01 00:00:00
161,10900,Finance & Investments,Philip Anschutz,83.0,Denver,"Energy, sports, entertainment",United States,False,Unknown,M,1939-12-28 00:00:00
161,10900,Fashion & Retail,Judy Love & family,85.0,Oklahoma City,Gas stations,United States,True,Yes,F,1937-06-17 00:00:00
161,10900,Fashion & Retail,Ricardo Salinas Pliego & family,67.0,Mexico City,"Retail, media",Mexico,False,No,M,1955-10-19 00:00:00
164,10700,Media & Entertainment,Donald Newhouse,93.0,New York,Media,United States,False,No,M,1929-08-05 00:00:00
165,10600,Sports,Robert Kraft,81.0,Brookline,"Manufacturing, New England Patriots",United States,True,Yes,M,1941-06-05 00:00:00
165,10600,Food & Beverage,Marcel Herrmann Telles,73.0,Sao Paulo,Beer,Brazil,True,Yes,M,1950-01-01 00:00:00
167,10500,Finance & Investments,Suleiman Kerimov & family,57.0,Moscow,Gold,Russia,True,Yes,M,1966-03-12 00:00:00
167,10500,Fashion & Retail,Sky Xu,39.0,Guangzhou,E-commerce,China,True,Yes,M,1984-01-01 00:00:00
167,10500,Finance & Investments,Changpeng Zhao,45.0,Dubai,Cryptocurrency exchange,Canada,True,No,M,1977-09-10 00:00:00
170,10300,Finance & Investments,Andrew Beal,70.0,Dallas,"Banks, real estate",United States,True,Yes,M,1952-11-29 00:00:00
171,10200,Technology,Mike Cannon-Brookes,43.0,Sydney,Software,Australia,True,No,M,1979-11-17 00:00:00
171,10200,Healthcare,Carl Cook,60.0,Bloomington,Medical devices,United States,False,No,M,1962-08-19 00:00:00
171,10200,Technology,David Duffield,82.0,Incline Village,Business software,United States,True,No,M,1940-09-21 00:00:00
171,10200,Energy,Jeffery Hildebrand,64.0,Houston,Oil,United States,True,Yes,M,1959-03-05 00:00:00
171,10200,Manufacturing,Viktor Rashnikov,74.0,Magnitogorsk,Steel,Russia,True,Yes,M,1948-10-13 00:00:00
171,10200,Technology,Eduardo Saverin,41.0,Singapore,Facebook,Brazil,True,No,M,1982-03-19 00:00:00
171,10200,Automotive,Georg Schaeffler,58.0,Herzogenaurach,Auto parts,Germany,False,Yes,M,1964-10-19 00:00:00
171,10200,Fashion & Retail,Christy Walton,74.0,Jackson,Walmart,United States,False,Yes,F,1949-02-08 00:00:00
179,10100,Technology,Scott Farquhar,43.0,Sydney,Software,Australia,True,No,M,1979-12-17 00:00:00
179,10100,Diversified,Quek Leng Chan,81.0,Kuala Lumpur,"Banking, property",Malaysia,False,No,M,1941-08-12 00:00:00
179,10100,Real Estate,Wu Yajun,59.0,Beijing,Real estate,China,True,No,F,1964-01-01 00:00:00
182,10000,Energy,Autry Stephens,85.0,Midland,Oil,United States,True,Yes,M,1938-03-08 00:00:00
183,9900,Service,Liu Yongxing,74.0,Shanghai,Diversified,China,True,No,M,1948-06-01 00:00:00
184,9800,Diversified,Vinod Adani,74.0,Dubai,"Infrastructure, commodities",Cyprus,True,Yes,M,1949-01-10 00:00:00
184,9800,Fashion & Retail,Nicolas Puech,80.0,Martigny,Hermes,France,False,Yes,M,1943-01-29 00:00:00
184,9800,Logistics,"Jacques Saadé, Jr.",51.0,Marseille,Shipping,France,False,Yes,M,1971-08-10 00:00:00
184,9800,Logistics,Rodolphe Saadé,53.0,Marseille,Shipping,France,False,Yes,M,1970-03-03 00:00:00
184,9800,Logistics,Tanya Saadé Zeenny,55.0,Marseille,Shipping,France,False,Yes,F,1968-02-01 00:00:00
184,9800,Finance & Investments,Melker Schorling & family,75.0,Stockholm,Investments,Sweden,True,No,M,1947-05-15 00:00:00
190,9700,Manufacturing,Andrei Guriev & family,63.0,Moscow,Fertilizers,Russia,True,Yes,M,1960-03-24 00:00:00
190,9700,Finance & Investments,Michael Kim,59.0,Seoul,Private equity,United States,True,Yes,M,1963-10-01 00:00:00
190,9700,Technology,Lei Jun,53.0,Beijing,Smartphones,China,True,No,M,1969-12-16 00:00:00
190,9700,Manufacturing,Friedhelm Loh,76.0,Haiger,Manufacturing,Germany,False,Yes,M,1946-08-15 00:00:00
190,9700,Healthcare,Sun Piaoyang,64.0,Lianyungang,Pharmaceuticals,China,True,No,M,1958-09-01 00:00:00
195,9600,Technology,Rick Cohen & family,70.0,Keene,Warehouse automation,United States,False,Unknown,M,1952-07-25 00:00:00
195,9600,Energy,Jin Baofang,70.0,Xingtai,Solar panels,China,True,No,M,1952-09-01 00:00:00
195,9600,Manufacturing,Luo Liguo & family,67.0,Ningbo,Chemicals,China,True,No,M,1956-03-01 00:00:00
195,9600,Food & Beverage,Marijke Mars,58.0,Los Angeles,"Candy, pet food",United States,False,Yes,F,1964-07-28 00:00:00
195,9600,Food & Beverage,Pamela Mars,62.0,Alexandria,"Candy, pet food",United States,False,Yes,F,1960-08-01 00:00:00
195,9600,Food & Beverage,Valerie Mars,64.0,New York,"Candy, pet food",United States,False,Yes,F,1959-01-26 00:00:00
195,9600,Food & Beverage,Victoria Mars,66.0,Philadelphia,"Candy, pet food",United States,False,Yes,F,1956-12-15 00:00:00
202,9500,Finance & Investments,Vincent Bolloré & family,71.0,Paris,Investments,France,False,Yes,M,1952-04-01 00:00:00
202,9500,Diversified,Jim Pattison,94.0,Vancouver,Diversified,Canada,True,No,M,1928-10-01 00:00:00
204,9400,Healthcare,Ernesto Bertarelli,57.0,Gstaad,"Biotech, investments",Switzerland,False,Yes,M,1965-09-22 00:00:00
204,9400,Technology,Wang Xing,44.0,Beijing,Food delivery,China,True,No,M,1979-02-18 00:00:00
206,9300,Technology,Brian Chesky,41.0,San Francisco,Airbnb,United States,True,No,M,1981-08-29 00:00:00
206,9300,Manufacturing,James Dyson,75.0,Gloucestershire,Vacuums,United Kingdom,True,Yes,M,1947-05-02 00:00:00
208,9200,Diversified,Roman Abramovich & family,56.0,Moscow,"Steel, investments",Russia,True,Yes,M,1966-10-24 00:00:00
208,9200,Diversified,Antonia Ax:son Johnson & family,79.0,Stockholm,Diversified,Sweden,False,Yes,F,1943-09-06 00:00:00
208,9200,Energy,Daniel Kretinsky,47.0,Prague,"Energy, investments",Czech Republic,True,Yes,M,1975-07-09 00:00:00
208,9200,Media & Entertainment,John Malone,82.0,Elizabeth,Cable television,United States,True,Yes,M,1941-03-07 00:00:00
208,9200,Technology,Azim Premji,77.0,Bangalore,Software services,India,False,No,M,1945-07-24 00:00:00
208,9200,Finance & Investments,Charles Schwab,85.0,Woodside,Discount brokerage,United States,True,No,M,1937-07-29 00:00:00
208,9200,Fashion & Retail,Eric Smidt,63.0,Beverly Hills,Hardware stores,United States,True,Yes,M,1960-01-01 00:00:00
215,9000,Technology,David Cheriton,72.0,Palo Alto,Google,Canada,True,No,M,1951-03-29 00:00:00
215,9000,Metals & Mining,Ivan Glasenberg,66.0,Ruschlikon,Mining,Switzerland,True,No,M,1957-01-07 00:00:00
215,9000,Real Estate,Alexander Otto,55.0,Hamburg,Real estate,Germany,False,No,M,1967-07-07 00:00:00
215,9000,Food & Beverage,Anthony von Mandl,73.0,Vancouver,Alcoholic beverages,Canada,True,Yes,M,1950-03-10 00:00:00
215,9000,Manufacturing,Wang Liping & family,57.0,Changzhou,Hydraulic machinery,China,True,Yes,M,1966-02-24 00:00:00
220,8900,Food & Beverage,Finn Rausing,68.0,London,Packaging,Sweden,False,No,M,1955-01-01 00:00:00
220,8900,Food & Beverage,Jorn Rausing,63.0,Surrey,Packaging,Sweden,False,No,M,1960-01-01 00:00:00
220,8900,Food & Beverage,Kirsten Rausing,70.0,Newmarket,Packaging,Sweden,False,No,F,1952-06-06 00:00:00
223,8800,Fashion & Retail,Tatyana Bakalchuk,47.0,Moscow region,Ecommerce,Russia,True,Yes,F,1975-10-16 00:00:00
223,8800,Technology,John Doerr,71.0,Woodside,Venture capital,United States,True,No,M,1951-06-29 00:00:00
223,8800,Technology,Richard Liu,49.0,Beijing,E-commerce,China,True,No,M,1974-03-10 00:00:00
223,8800,Technology,Dustin Moskovitz,38.0,San Francisco,Facebook,United States,True,No,M,1984-05-22 00:00:00
223,8800,Technology,Pierre Omidyar,55.0,Honolulu,"EBay, PayPal",United States,True,No,M,1967-06-21 00:00:00
223,8800,Energy,Pei Zhenhua,64.0,Ningde,Batteries,China,True,No,M,1959-01-01 00:00:00
